"Associativity 2, x; Associativity 4, x; Associativity 8, x","Associativity 2, y","Associativity 4, y","Associativity 8, y"
"1","27.8019","27.2387","27.0584"
"2","22.7035","22.4651","22.6438"
"4","17.0309","15.6954","14.9812"
"8","13.0461","11.6213","11.3513"
"16","9.4542","8.6933","8.3398"
"32","7.2952","6.7342","6.4258"
"64","6.1115","5.8177","5.6837"
"128","5.6269","5.4089","5.3435"
"256","5.3649","5.2795","5.2416"
"512","5.2685","5.2405","5.2347"
"1024","5.2488","5.2338","5.2324"
"2048","5.2466","5.2319","5.2319"
"4096","5.2369","5.2317","5.2317"
"8192","5.2366","5.2317","5.2317"
