"Block Offset 2, x; Block Offset 8, x; Block Offset 32, x; Block Offset 64, x","Block Offset 2, y","Block Offset 8, y","Block Offset 32, y","Block Offset 64, y"
"1","51.3902","38.5612","14.885","12.8344"
"2","40.3765","30.7415","12.3585","10.2336"
"4","28.5691","21.6165","9.3043","7.987"
"8","22.1166","16.6434","6.2779","5.396"
"16","16.7457","12.5771","4.4691","3.6752"
"32","13.4843","10.0501","3.1517","2.4594"
"64","11.9911","8.883","2.508","1.8136"
"128","11.3321","8.3679","2.2126","1.5081"
"256","11.1307","8.2084","2.1095","1.3987"
"512","11.0839","8.17","2.0661","1.3468"
"1024","11.0779","8.1653","2.0528","1.3288"
"2048","11.0775","8.1649","2.0503","1.3225"
"4096","11.0775","8.1649","2.0495","1.322"
"8192","11.0775","8.1649","2.0495","1.322"
